filename	size_bytes	mtime_iso	sha256
Articles of Inc. SBNC.pdf	289748	2025-12-20T16:50:54	e35d2c75efd92dcf950faa376d05492378cd27898542c3142e04f90353a29833
Executive Committee vs. Board of Directors Authority Summary.pdf	2931125	2025-12-20T16:50:54	dddb0e00654b450d38e27b51026c31bb849ed46fba189c7583288c6f16fabe63
Improved Code of Conduct for SBNC Bylaws.pdf	3472472	2025-12-20T16:50:54	cbd76867debf6b57e85836264523404570f6c92f999692bd1c0a9a778c03bea3
Improved Event Waiver for SBNC Bylaws.pdf	1783782	2025-12-20T16:50:54	e810e2c1e5f56e4743e060e139bb3df6c0c5bd9896053b7cd6823b93d41a71f4
Policies and Procedures - Summary of Changes.pdf	3532893	2025-12-20T16:50:54	54707bd81da25e59a5f9734b966d2816c07bedb3a31fa2cad3e0cbb477153a9f
Privacy Policy and Terms of Use - Summary of Changes.pdf	2341372	2025-12-20T16:50:54	a2e86fb0fdb4da0995bef50140fe7d3f714333ef70c21d7bd99ca64ba622029e
Santa Barbara Newcomers Club - Bylaw Am...Commentary and Implementation Analysis.pdf	5471520	2025-12-20T16:50:54	c4f91ae0eae0d178e935f9ae065b51ca6f4b552f9d1fcee84108842a6f4f75d9
Santa Barbara Newcomers Club - Bylaws (Draft with All Amendments).pdf	15959632	2025-12-20T16:50:54	987cd70cfe24e58fdc7fb8bb1d910603cddb859674f30694bf24a104477b6595
Santa Barbara Newcomers Club - Privacy Policy and Terms of Use.pdf	4849193	2025-12-20T16:50:54	8bdd3bf7088a11cb1d003420f4aae92a041912e40b1fc2a3e2b7f651a105475e
Santa Barbara Newcomers Club - Revised Policies and Procedures.pdf	12668865	2025-12-20T16:50:54	d64fcd04bfc6dc8df1fafb5e1c31af0973f44f057101d46754242a6c166dd37d
Santa Barbara Newcomers Club - Social Media Policy.pdf	3848193	2025-12-20T16:50:54	24c1eb9ce8229d43f756f3a2cd616e02d2edafa55376a841936716435d3efedd
Social Media Policy - Summary of Changes.pdf	3063608	2025-12-20T16:50:54	8862fb0d3540c7782e89e931df162f65f63cb3e17ebf22b842c030f185cf2cda
